date_time,precipMM,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,pressure,tempC,visibilityKM,winddirDegree,windspeedKmph,moon_illumination_percent,moonrise,moonset,sunrise,sunset
2008-07-01,0,22,13,0,15.6,5,5,13,19,20,19,16,11,70,1013,22,10,256,9,4,3:34 AM,8:12 PM,5:40 AM,9:03 PM
2008-07-02,0.1,24,17,0,15.6,6,6,13,21,22,21,35,10,63,1010,24,10,212,18,0,4:39 AM,9:11 PM,5:41 AM,9:03 PM
2008-07-03,0,20,14,0,15.6,5,5,15,18,19,18,24,45,83,1012,20,10,307,15,0,5:56 AM,9:56 PM,5:42 AM,9:03 PM
2008-07-04,0,20,11,0,15.6,5,5,12,17,18,17,11,27,73,1018,20,10,183,7,3,7:18 AM,10:30 PM,5:42 AM,9:02 PM
2008-07-05,0,22,12,0,15.6,5,5,16,21,22,21,9,6,73,1017,22,10,111,5,10,8:37 AM,10:58 PM,5:43 AM,9:02 PM
2008-07-06,0,24,13,0,15.6,5,5,18,23,24,23,10,0,76,1016,24,10,139,7,17,9:54 AM,11:20 PM,5:43 AM,9:02 PM
2008-07-07,0,26,15,0,15.6,6,6,19,24,25,24,14,1,75,1014,26,10,218,9,25,11:05 AM,11:41 PM,5:44 AM,9:01 PM
2008-07-08,2.5,26,20,0,15.6,6,6,20,24,24,23,26,41,84,1009,26,9,215,14,32,12:13 PM,12:00 AM,5:45 AM,9:01 PM
2008-07-09,0,24,16,0,15.5,6,6,18,21,23,21,24,38,82,1008,24,8,269,14,39,1:20 PM,No moonset,5:46 AM,9:00 PM
2008-07-10,0,22,15,0,15.5,5,5,14,20,20,20,17,10,71,1015,22,10,272,11,47,2:25 PM,12:19 AM,5:46 AM,9:00 PM
2008-07-11,1.5,23,16,0,14.5,5,5,17,20,21,20,12,34,81,1016,23,10,130,7,54,3:30 PM,12:40 AM,5:47 AM,8:59 PM
2008-07-12,0,25,16,0,13.5,6,6,18,21,23,21,20,39,83,1013,25,8,175,11,61,4:35 PM,1:05 AM,5:48 AM,8:59 PM
2008-07-13,0,24,18,0,12.5,6,6,17,22,22,22,24,39,75,1005,24,10,246,14,68,5:38 PM,1:35 AM,5:49 AM,8:58 PM
2008-07-14,0.6,21,16,0,14.5,5,5,14,19,19,19,22,33,76,1010,21,10,270,14,76,6:37 PM,2:11 AM,5:50 AM,8:57 PM
2008-07-15,0,23,13,0,13.5,5,5,15,20,21,20,14,16,74,1017,23,10,192,8,83,7:30 PM,2:56 AM,5:50 AM,8:57 PM
2008-07-16,1.6,26,17,0,14.5,6,6,18,22,23,22,13,16,78,1019,26,10,199,7,90,8:15 PM,3:49 AM,5:51 AM,8:56 PM
2008-07-17,6.3,25,17,0,14.5,6,6,20,23,24,23,15,17,83,1018,25,9,184,8,97,8:52 PM,4:49 AM,5:52 AM,8:55 PM
2008-07-18,0.1,24,20,0,12.5,6,6,20,25,25,23,22,30,83,1014,24,9,233,11,100,9:23 PM,5:55 AM,5:53 AM,8:54 PM
2008-07-19,5.1,25,19,0,12.4,6,6,20,23,24,23,11,40,87,1014,25,10,267,6,88,9:48 PM,7:02 AM,5:54 AM,8:53 PM
2008-07-20,1.8,20,19,0,9.4,4,4,19,20,20,20,12,85,96,1011,20,5,88,7,81,10:10 PM,8:11 AM,5:55 AM,8:53 PM
2008-07-21,2.5,22,18,0,12.4,4,4,19,20,21,20,8,52,93,1011,22,7,132,5,73,10:30 PM,9:20 AM,5:56 AM,8:52 PM
2008-07-22,10.7,22,18,0,12.4,4,4,19,20,21,20,12,58,95,1012,22,6,104,7,66,10:50 PM,10:28 AM,5:57 AM,8:51 PM
2008-07-23,4.7,20,16,0,11.4,4,4,17,18,18,18,21,71,93,1013,20,9,144,14,59,11:11 PM,11:38 AM,5:58 AM,8:50 PM
2008-07-24,2.1,22,16,0,14.5,5,5,17,19,20,19,21,30,88,1013,22,10,296,13,52,11:34 PM,12:50 PM,5:59 AM,8:49 PM
2008-07-25,0,24,16,0,14.5,6,6,16,21,22,21,22,12,73,1016,24,10,231,13,44,No moonrise,2:05 PM,6:00 AM,8:48 PM
2008-07-26,5.5,24,18,0,11.6,5,5,18,21,22,21,25,30,85,1010,24,9,250,14,37,12:01 AM,3:24 PM,6:01 AM,8:47 PM
2008-07-27,1.9,24,15,0,11.6,5,5,16,20,21,20,24,21,79,1008,24,10,253,14,30,12:36 AM,4:41 PM,6:02 AM,8:46 PM
2008-07-28,3.1,23,17,0,11.6,5,5,19,21,22,21,14,33,90,1010,23,9,287,8,23,1:22 AM,5:55 PM,6:03 AM,8:45 PM
2008-07-29,0,24,16,0,11.6,6,6,18,21,22,21,11,12,82,1013,24,7,198,7,15,2:19 AM,6:58 PM,6:04 AM,8:43 PM
2008-07-30,2.9,23,19,0,10.5,6,6,19,21,23,21,22,42,88,1006,23,9,196,12,8,3:31 AM,7:48 PM,6:05 AM,8:42 PM
2008-07-31,1.3,23,19,0,10.5,6,6,19,21,22,21,20,28,86,1004,23,8,291,12,4,4:49 AM,8:26 PM,6:06 AM,8:41 PM
2008-08-01,2.9,24,16,0,11.6,6,6,18,21,22,21,16,27,84,1007,24,10,289,10,0,6:10 AM,8:57 PM,6:07 AM,8:40 PM
2008-08-02,2.6,22,17,0,11.6,5,5,18,20,20,20,19,33,89,1008,22,9,320,12,0,7:29 AM,9:22 PM,6:08 AM,8:39 PM
2008-08-03,0,23,16,0,11.6,5,5,17,20,21,20,20,15,81,1014,23,10,324,13,6,8:43 AM,9:43 PM,6:09 AM,8:37 PM
2008-08-04,0,24,15,0,11.6,6,6,18,22,23,22,9,12,77,1015,24,10,238,6,14,9:55 AM,10:03 PM,6:10 AM,8:36 PM
2008-08-05,0.9,25,20,0,10.5,6,6,19,22,24,22,14,48,84,1012,25,9,157,8,21,11:03 AM,10:22 PM,6:11 AM,8:35 PM
2008-08-06,0,25,19,0,11.6,6,6,18,22,23,22,22,11,79,1011,25,10,302,14,28,12:10 PM,10:43 PM,6:12 AM,8:33 PM
2008-08-07,0,22,17,0,11.6,5,5,16,20,21,20,16,32,80,1008,22,10,299,10,35,1:17 PM,11:07 PM,6:14 AM,8:32 PM
2008-08-08,2.7,20,16,0,10.5,5,5,15,18,18,18,27,53,85,1009,20,10,321,19,43,2:22 PM,11:35 PM,6:15 AM,8:31 PM
2008-08-09,7.4,21,14,0,9.3,5,5,15,18,18,18,16,43,83,1009,21,9,238,10,50,3:27 PM,No moonset,6:16 AM,8:29 PM
2008-08-10,2.6,17,12,0,8.2,3,3,13,15,15,15,14,60,90,1009,17,9,149,10,57,4:28 PM,12:08 AM,6:17 AM,8:28 PM
2008-08-11,1.7,22,14,0,11.6,5,5,16,18,18,18,22,24,86,1012,22,10,294,14,65,5:24 PM,12:50 AM,6:18 AM,8:26 PM
2008-08-12,1.3,22,15,0,11.6,5,5,16,19,20,19,16,23,84,1011,22,10,304,10,72,6:11 PM,1:40 AM,6:19 AM,8:25 PM
2008-08-13,1.4,21,15,0,10.5,5,5,17,19,20,19,12,30,87,1009,21,9,254,7,79,6:51 PM,2:37 AM,6:20 AM,8:23 PM
2008-08-14,1.7,22,15,0,11.6,5,5,17,19,20,19,9,14,85,1011,22,10,205,6,86,7:24 PM,3:42 AM,6:21 AM,8:22 PM
2008-08-15,2.3,22,15,0,11.6,5,5,16,19,19,19,16,19,87,1016,22,10,317,10,94,7:52 PM,4:49 AM,6:22 AM,8:20 PM
2008-08-16,0,23,15,0,11.6,5,5,15,20,20,20,20,13,78,1016,23,10,282,12,100,8:15 PM,5:58 AM,6:24 AM,8:19 PM
2008-08-17,1.5,24,17,0,11.6,6,6,17,21,21,21,20,33,80,1013,24,10,250,12,100,8:36 PM,7:08 AM,6:25 AM,8:17 PM
2008-08-18,2.2,26,19,0,11.6,6,6,20,22,23,22,28,33,87,1011,26,10,249,16,85,8:56 PM,8:18 AM,6:26 AM,8:16 PM
2008-08-19,0,19,13,0,11.6,5,5,12,16,16,16,18,22,75,1019,19,10,91,13,77,9:17 PM,9:29 AM,6:27 AM,8:14 PM
2008-08-20,0,21,11,0,11.6,5,5,15,20,21,20,9,0,73,1023,21,10,72,7,70,9:40 PM,10:41 AM,6:28 AM,8:13 PM
